poi_id,name,destination,region,destination_type,capacity_index,category,asset_type,lat,lon,stars,cuisine,website
1450773441,Port de Sóller,Mallorca,Islas Baleares,island,88,attraction,Playa/Marina,39.7977844,2.6947283,,,
1452343243,Unknown,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5700827,2.646379,,,
1481230274,Sínia del Hio,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5459401,2.3918772,,,
1481230277,Sínia del Maa,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5463828,2.3926321,,,
1510191499,Costa i Llobera,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.873762,3.0196159,,,
1510331769,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8810563,3.0119395,,,
1512931987,als donants de sang,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7686926,2.9021862,,,
1552174430,Fundació Tabaluga,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8782243,3.0178396,,,
1583966731,Real Club Náutico,Mallorca,Islas Baleares,island,88,attraction,Playa/Marina,39.5671495,2.6361489,,,https://www.rcnp.es/
1587270862,Naveta Alemany,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.49654,2.5262377,,,
1587352356,Folies,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5069853,2.5345419,,,
1588238834,Galerie Flohr,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.3536632,3.126895,,,
1588252512,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.3525578,3.1293028,,,
1588916072,Lleó de Sant Marc,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.6429009,3.0108192,,,
1614204428,Mirador d'en Josep Sastre,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.610159,2.3688853,,,
1614274299,pas de s'Estaló,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.727265,2.756706,,,
1614694508,sa Vinya,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5977764,2.4589545,,,
1615413382,Mirador de sa Casa Nova,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.8287195,2.8371546,,,
1617899928,Naveta de ses Sinies,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.6248879,2.4637617,,,
1634402016,Sepulcre megalític de Son Bauló de Dalt,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7538775,3.158649,,,
1634473061,Talaiot de sa Clova des Xot,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7134515,3.2627084,,,
1634482472,Talaiot quadrat de ses Llenques,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7107586,3.2638834,,,
1635002008,Talaiot,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.6925614,3.0074025,,,
1635002009,Talaiot,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.6929143,3.0071933,,,
1635042215,Talaiot de Son Noguera,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.4825888,2.8589969,,,
1635073534,Santuari d'Almallutx,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.8053665,2.8216766,,,
1639175563,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5948697,3.0879155,,,
1643956444,Fra Juníper Serra,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.6143884,3.1121998,,,
1650538569,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7018588,2.6392049,,,
1650545891,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7104348,2.6422005,,,
1650546136,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.71479,2.645736,,,
1654288672,Unknown,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5849195,2.6173232,,,
1675957321,puig de ses Oliveres,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.6215543,3.372787,,,
1677173057,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.700489,3.4362156,,,
